nodes;links;generation;population;realloc_rate;resize_rate;elite;maxScore
10;13;60;150;0,05;0,8;30;0,69876543209
10;13;30;100;0,3;0,4;20;0,661728395061
10;13;40;500;0,5;0,4;50;0,687037037037
10;13;60;100;0,6;0,4;20;0,69074074074
10;13;60;150;0,65;0,8;30;0,6870370370
10;13;60;500;0,6;0,4;50;0,6783950617
10;13;30;150;0,9;0,4;15;0,65277777777
10;13;70;400;0,95;0,8;80;0,688425925
10;12;50;200;0,9;0,4;40;0,6736625514
10;13;70;100;0,2;0,4;20;0,7185185185
10;13;50;500;0,5;0,4;50;0,6956140350
10;13;60;250;0,55;0,8;50;0,753968253
10;13;90;375;0,75;0,8;37;0,753535353
10;12;60;350;0,8;0,4;35;0,7392
10;12;20;100;0,35;0,8;20;0,731
10;12;50;250;0,45;0,8;25;0,7584
10;13;40;400;0,4;0,4;80;0,7577
10;12;10;225;0,7;0,3;45;0,6816
10;13;90;100;0,4;0,3;20;0,7054
10;13;40;475;0,8;0,0;47;0,5783
10;12;20;200;0,9;0,9;40;0,6798
10;12;40;475;0,4;0,6;95;0,6724
10;12;90;150;0,1;0,1;30;0,5926
10;13;20;375;0,4;0,6;75;0,6765
10;13;40;325;0,9;0,6;32;0,7224
10;13;10;225;0,2;0,8;45;0,7051
10;12;10;275;0,6;0,0;27;0,5225
10;12;80;400;0,2;0,3;40;0,6358
10;12;10;100;0,8;0,7;10;0,722
10;13;50;225;0,7;0,5;22;0,7763
10;13;20;150;0,9;0,7;15;0,7587
10;13;10;175;0,3;0,1;17;0,537
10;12;40;100;0,4;0,2;10;0,7008
10;13;10;450;0,0;0,1;45;0,6761
10;13;60;425;0,8;0,3;85;0,7008
10;12;60;300;0,1;0,3;30;0,7157
10;13;40;175;0,6;0,8;35;0,7706
10;12;20;500;0,6;0,6;100;0,6741
10;12;20;300;0,4;0,8;30;0,679
10;13;10;225;0,3;0,8;22;0,658
10;13;50;125;0,7;0,8;25;0,7677
10;13;40;150;0,3;0,0;30;0,6037
10;13;60;225;0,3;0,9;45;0,7502
10;12;40;150;0,8;0,4;30;0,6511
10;13;20;175;0,6;0,0;35;0,5175
10;12;90;275;0,5;0,8;27;0,6275
10;13;60;125;0,7;0,8;12;0,663
10;13;90;425;0,7;0,4;42;0,7498
10;13;40;100;0,1;0,4;20;0,7175
10;12;40;275;0,8;0,2;27;0,6733
10;12;50;250;0,3;0,8;25;0,7289
10;13;50;450;0,6;0,4;45;0,7185
10;13;10;450;0,5;0,9;90;0,7383
10;12;80;100;0,0;0,2;20;0,6722
10;13;60;450;0,4;0,4;90;0,7763
10;12;10;250;0,4;0,0;50;0,5522
10;13;50;250;0,1;0,0;50;0,602
10;12;50;175;0,6;0,5;35;0,6361
10;13;80;350;0,1;0,4;70;0,7776
10;13;60;175;0,6;0,9;17;0,6883
10;13;50;325;0,6;0,1;65;0,7163
10;12;50;100;0,2;0,0;20;0,5729
10;12;80;125;0,7;0,4;25;0,6621
10;13;40;250;0,7;0,7;50;0,7851
10;13;90;100;0,7;0,7;20;0,7764
10;13;60;350;0,6;0,4;35;0,6778
10;12;70;200;0,2;0,5;40;0,6058
10;13;10;125;0,5;0,6;25;0,737
10;12;10;425;0,6;0,3;42;0,6726
10;12;50;150;0,0;0,2;15;0,5741
10;12;20;375;0,1;0,1;75;0,6214
10;13;20;125;0,5;0,4;25;0,6673
10;13;40;250;0,6;0,6;50;0,7659
10;13;80;300;0,5;0,1;30;0,6945
10;12;60;275;0,1;0,2;27;0,7074
10;13;50;250;0,9;0,6;50;0,6796
10;13;50;275;0,9;0,2;27;0,7319
10;13;10;100;0,5;0,0;10;0,5576
10;12;10;350;0,1;0,0;35;0,5831
10;13;20;425;0,7;0,9;42;0,7756
10;13;70;275;0,6;0,9;55;0,7508
10;13;50;250;0,3;0,1;50;0,6836
10;13;10;475;0,1;0,8;95;0,7179
10;12;10;300;0,8;0,8;30;0,625
10;12;20;275;0,2;0,5;27;0,7123
10;12;60;425;0,8;0,6;85;0,7608
10;13;10;175;0,6;0,0;35;0,5579
10;13;20;200;0,9;0,4;20;0,6413
10;13;40;500;0,7;0,6;100;0,7367
10;13;40;400;0,1;0,3;80;0,663
10;12;40;275;0,9;0,0;55;0,5494
10;13;60;400;0,4;0,0;80;0,5401
10;12;40;325;0,6;0,6;65;0,6153
10;12;50;450;0,1;0,7;90;0,7424
10;12;10;375;0,9;0,0;37;0,5651
10;12;10;175;0,0;0,0;35;0,5276
10;12;50;450;0,0;0,8;45;0,6764
10;12;70;500;0,5;0,3;50;0,7298
10;13;10;150;0,2;0,5;30;0,6597
10;13;50;275;0,8;0,4;55;0,7091
10;12;40;475;0,8;0,1;47;0,6346
10;12;50;300;0,3;0,1;60;0,6796
10;12;40;375;0,1;0,2;37;0,6108
10;13;50;300;0,8;0,3;60;0,7286
10;13;50;350;0,3;0,5;35;0,7413
10;13;10;325;0,9;0,4;32;0,6343
10;12;40;175;0,2;0,8;35;0,6333
10;12;80;100;0,1;0,6;10;0,6684
10;12;40;275;0,7;0,8;27;0,7494
10;13;50;450;0,4;0,0;90;0,61
10;12;20;100;0,1;0,2;10;0,595
10;13;10;300;0,9;0,2;30;0,6661
10;12;60;125;0,9;0,5;25;0,7149
10;13;20;475;0,3;0,7;95;0,679
10;13;10;300;0,9;0,6;60;0,6947
10;12;40;125;0,3;0,3;12;0,6095
10;13;80;450;0,2;0,5;90;0,6619
10;12;20;475;0,0;0,2;95;0,7019
10;13;50;200;0,3;0,8;40;0,7394
10;13;20;425;0,2;0,6;85;0,7265
10;13;40;325;0,8;0,2;65;0,6751
10;12;20;250;0,5;0,2;50;0,595
10;13;40;500;0,3;0,1;50;0,7096
10;13;20;225;0,4;0,1;22;0,5994
10;12;80;450;0,1;0,2;90;0,7165
10;12;60;450;0,7;0,6;45;0,7427
10;13;50;150;0,1;0,0;15;0,527
10;12;20;200;0,1;0,2;40;0,6486
10;12;20;500;0,2;0,6;100;0,7247
10;12;80;150;0,2;0,2;30;0,7157
10;13;80;250;0,2;0,5;50;0,7798
10;12;40;500;0,9;0,1;50;0,6288
10;13;70;375;0,8;0,7;37;0,6677
10;13;20;375;0,3;0,6;75;0,7091
10;12;10;400;0,4;0,7;40;0,5921
10;12;40;150;0,4;0,7;15;0,6063
10;13;40;175;0,6;0,1;17;0,6075
10;12;70;275;0,4;0,9;55;0,7418
10;12;10;100;0,6;0,3;10;0,6894
10;12;80;100;0,3;0,7;20;0,6713
10;13;40;325;0,8;0,1;65;0,6821
10;12;20;175;0,0;0,1;35;0,6722
10;12;90;275;0,6;0,4;55;0,7224
10;12;80;375;0,2;0,1;75;0,6296
10;13;80;200;0,7;0,9;40;0,7281
10;13;10;375;0,8;0,5;37;0,7132
10;13;60;275;0,4;0,9;27;0,7593
10;12;50;275;0,5;0,2;55;0,6593
10;13;50;175;0,5;0,5;35;0,6653
10;13;90;350;0,3;0,4;35;0,7165
10;12;40;300;0,7;0,1;60;0,6299
10;12;50;300;0,1;0,3;30;0,6292
10;12;60;350;0,7;0,4;35;0,7396
10;12;40;250;0,1;0,4;50;0,7035
10;12;50;500;0,6;0,0;100;0,5994
10;13;80;150;0,5;0,2;15;0,6764
10;13;40;350;0,4;0,4;35;0,7148
10;13;50;200;0,4;0,5;20;0,7307
10;13;10;350;0,3;0,0;70;0,5291
10;13;60;275;0,1;0,8;27;0,7556
10;13;50;300;0,2;0,2;60;0,7279
10;12;60;200;0,1;0,1;40;0,6125
10;12;90;125;0,1;0,3;25;0,7129
10;13;20;375;0,8;0,9;75;0,7127
10;13;70;250;0,2;0,2;25;0,6771
10;12;50;350;0,2;0,7;35;0,7457
10;12;10;300;0,7;0,9;60;0,7045
10;13;20;425;0,3;0,5;85;0,7114
10;13;70;225;0,2;0,5;45;0,6582
10;12;80;325;0,1;0,2;32;0,5905
10;13;10;100;0,0;0,8;10;0,6358
10;13;10;225;0,1;0,4;22;0,6958
10;12;10;375;0,5;0,5;37;0,6675
10;12;40;275;0,0;0,4;27;0,7408
10;13;20;350;0,6;0,0;35;0,5339
10;13;50;125;0,6;0,0;25;0,5626
10;13;90;200;0,2;0,7;40;0,6704
10;13;60;275;0,4;0,2;55;0,7069
10;12;70;200;0,4;0,0;20;0,5125
10;12;70;325;0,7;0,6;65;0,7573
10;13;50;375;0,9;0,3;37;0,6605
10;13;20;175;0,5;0,5;35;0,7078
10;12;70;450;0,4;0,7;45;0,65
10;12;20;150;0,1;0,5;15;0,7008
10;12;80;400;0,5;0,5;40;0,6718
10;13;10;300;0,7;0,5;60;0,6542
10;13;40;450;0,4;0,6;45;0,7263
10;13;10;100;0,1;0,3;20;0,6269
10;12;10;150;0,1;0,7;15;0,702
10;13;40;350;0,7;0,9;70;0,6944
10;12;10;475;0,4;0,5;95;0,6967
10;13;70;425;0,2;0,4;42;0,675
10;12;90;500;0,8;0,1;100;0,5681
10;12;50;250;0,6;0,2;25;0,6412
10;13;20;425;0,9;0,7;42;0,6727
10;13;60;175;0,8;0,5;35;0,7061
10;12;90;175;0,4;0,9;17;0,7757
10;12;70;325;0,2;0,7;65;0,6662
10;13;20;450;0,3;0,5;45;0,7504
10;13;10;325;0,0;0,9;65;0,6352
10;12;10;150;0,9;0,1;30;0,5233
10;13;40;300;0,6;0,7;30;0,6852
10;12;70;400;0,5;0,0;80;0,5749
10;12;40;475;0,5;0,1;47;0,5639
10;12;20;225;0,7;0,8;22;0,5989
10;13;40;250;0,9;0,0;50;0,6064
10;12;20;500;0,9;0,0;50;0,5831
10;13;50;450;0,3;0,5;90;0,663
10;13;20;175;0,3;0,6;35;0,7458
10;13;40;150;0,7;0,3;30;0,7215
10;13;50;425;0,4;0,6;85;0,6603
10;12;90;375;0,2;0,6;75;0,6992
10;12;10;175;0,5;0,3;35;0,5933
10;12;90;100;0,8;0,3;10;0,7309
10;13;90;150;0,5;0,5;15;0,687
10;12;40;450;0,4;0,7;45;0,7519
10;13;20;500;0,7;0,5;100;0,7182
10;13;20;300;0,2;0,9;30;0,728
10;13;40;225;0,9;0,7;22;0,6894
10;13;40;500;0,4;0,6;100;0,6875
10;13;60;200;0,7;0,7;20;0,6755
10;13;40;475;0,9;0,9;95;0,6951
10;12;40;375;0,6;0,0;37;0,5508
10;12;20;225;0,7;0,7;45;0,6392
10;13;50;200;0,4;0,7;20;0,7387
10;13;20;300;0,0;0,5;30;0,6466
10;13;50;100;0,7;0,8;10;0,7795
10;13;10;500;0,3;0,8;100;0,7212
10;12;90;500;0,6;0,2;50;0,7082
10;12;70;125;0,6;0,2;25;0,5905
10;12;20;125;0,4;0,9;25;0,7062
10;13;10;500;0,5;0,0;100;0,537
10;12;20;225;0,3;0,4;22;0,7043
10;13;80;425;0,6;0,5;85;0,6593
10;13;50;325;0,0;0,8;65;0,7919
10;12;20;175;0,3;0,0;17;0,5321
10;13;40;125;0,0;0,8;25;0,6698
10;12;60;250;0,9;0,7;50;0,6492
10;13;50;350;0,4;0,9;70;0,7444
10;12;90;400;0,9;0,3;80;0,6483
10;12;10;375;0,7;0,6;75;0,7284
10;12;50;450;0,5;0,4;45;0,6384
10;12;50;425;0,4;0,6;85;0,7412
10;13;80;350;0,8;0,9;70;0,6884
10;12;80;250;0,5;0,2;50;0,6802
10;13;20;150;0,2;0,6;15;0,7615
10;13;50;400;0,2;0,7;40;0,7391
10;13;50;225;0,1;0,4;45;0,6815
10;12;70;325;0,5;0,6;65;0,7431
10;12;80;350;0,8;0,3;35;0,6494
10;13;20;275;0,0;0,7;55;0,6492
10;12;80;175;0,1;0,5;17;0,66
10;13;20;200;0,4;0,1;40;0,5981
10;13;50;275;0,5;0,7;55;0,664
10;12;10;225;0,8;0,4;45;0,6626
10;12;80;350;0,1;0,3;35;0,6583
10;12;10;275;0,2;0,7;55;0,7006
10;13;50;450;0,9;0,2;45;0,7385
10;12;40;175;0,9;0,9;35;0,6947
10;12;20;400;0,4;0,7;80;0,7159
10;12;60;375;0,7;0,0;75;0,5851
10;12;70;300;0,9;0,4;30;0,7373
10;12;20;125;0,6;0,4;25;0,6208
10;13;50;150;0,7;0,9;15;0,7879
10;12;40;125;0,8;0,3;12;0,6116
10;12;40;250;0,9;0,6;50;0,7318
10;13;20;350;0,3;0,9;70;0,7149
10;12;20;425;0,6;0,8;85;0,6069
10;12;40;150;0,7;0,9;30;0,6095
10;13;10;250;0,0;0,5;25;0,6938
10;12;10;250;0,2;0,5;25;0,7102
10;13;80;450;0,3;0,5;45;0,7381
10;12;20;275;0,4;0,0;55;0,5481
10;13;40;250;0,1;0,1;50;0,6774
10;13;20;225;0,6;0,9;45;0,7578
10;12;10;350;0,8;0,1;35;0,6512
10;13;90;175;0,3;0,2;35;0,6324
10;13;20;225;0,7;0,8;22;0,6801
10;13;10;250;0,7;0,0;25;0,5352
10;13;80;250;0,9;0,5;25;0,7323
10;13;70;500;0,4;0,4;100;0,7756
10;12;20;100;0,3;0,0;10;0,527
10;13;50;350;0,6;0,4;35;0,7086
10;12;60;100;0,1;0,0;10;0,5195
10;12;40;475;0,0;0,5;95;0,6394
10;12;20;125;0,7;0,0;12;0,5725
10;13;20;475;0,2;0,8;95;0,7053
10;12;50;500;0,8;0,6;50;0,6116
10;12;10;450;0,4;0,5;90;0,693
10;13;10;100;0,6;0,0;10;0,539
10;12;10;450;0,5;0,9;45;0,6011
10;12;50;275;0,9;0,5;55;0,7471
10;12;50;250;0,7;0,2;50;0,6473
10;13;50;150;0,5;0,0;15;0,5407
10;12;40;150;0,3;0,3;30;0,6891
10;12;80;100;0,5;0,7;10;0,6243
10;13;40;200;0,4;0,1;40;0,6298
10;13;10;200;0,9;0,2;20;0,6043
10;12;20;200;0,5;0,2;20;0,642
10;13;20;100;0,8;0,4;10;0,7364
10;13;40;425;0,6;0,5;42;0,7105
10;12;50;275;0,4;0,1;55;0,6761
10;13;10;275;0,3;0,2;55;0,692
10;12;40;300;0,2;0,6;30;0,7025
10;13;50;275;0,2;0,8;55;0,7307
10;13;20;500;0,3;0,8;100;0,6778
10;12;70;275;0,4;0,4;55;0,7255
10;12;10;200;0,4;0,9;20;0,625
10;13;40;175;0,4;0,7;35;0,687
10;12;70;100;0,4;0,3;20;0,6236
10;12;20;150;0,2;0,8;30;0,6609
10;13;90;250;0,1;0,9;25;0,7424
10;13;90;125;0,5;0,1;12;0,6876
10;12;70;150;0,6;0,9;15;0,6963
10;13;20;275;0,6;0,0;27;0,5926
10;13;80;150;0,0;0,7;15;0,7793
10;13;20;275;0,4;0,2;27;0,7131
10;13;10;275;0,9;0,5;55;0,6537
10;12;10;425;0,1;0,6;42;0,6663
10;12;50;375;0,2;0,5;75;0,6425
10;12;10;375;0,1;0,2;75;0,637
10;12;60;125;0,0;0,6;25;0,7584
10;13;50;250;0,5;0,4;50;0,6648
10;13;20;175;0,9;0,8;17;0,734
10;13;70;100;0,1;0,7;20;0,6821
10;12;20;175;0,1;0,5;17;0,5942
10;13;60;300;0,2;0,1;30;0,6358
10;12;20;500;0,2;0,7;100;0,6069
10;13;60;500;0,7;0,3;100;0,7438
10;13;20;250;0,1;0,3;25;0,6481
10;13;80;375;0,8;0,2;75;0,6212
10;12;10;250;0,5;0,1;25;0,5523
10;12;50;425;0,7;0,7;42;0,7605
10;12;90;450;0,1;0,9;45;0,6593
10;12;10;250;0,7;0,3;25;0,6042
10;12;20;300;0,3;0,4;60;0,6975
10;12;50;325;0,5;0,0;65;0,5322
10;13;50;450;0,9;0,8;90;0,6656
10;12;80;500;0,7;0,5;100;0,7313
10;13;60;175;0,5;0,0;35;0,6259
10;13;50;350;0,9;0,2;70;0,6575
10;13;50;100;0,7;0,5;20;0,7576
10;12;40;300;0,5;0,3;30;0,6761
10;13;90;375;0,5;0,7;37;0,7069
10;13;60;225;0,3;0,9;22;0,7876
10;13;40;150;0,0;0,7;15;0,7296
10;13;20;250;0,6;0,8;50;0,7613
10;12;10;225;0,5;0,4;22;0,7111
10;12;40;450;0,3;0,8;45;0,6782
10;13;50;375;0,4;0,2;37;0,7215
10;13;20;300;0,5;0,3;60;0,6959
10;13;40;450;0,3;0,8;45;0,7478
10;13;10;250;0,6;0,6;50;0,6574
10;12;40;250;0,5;0,3;25;0,6638
10;12;80;200;0,0;0,7;20;0,7249
10;12;70;175;0,9;0,4;35;0,7333
10;13;50;300;0,0;0,2;30;0,6475
10;13;70;300;0,4;0,2;60;0,7254
10;13;10;400;0,4;0,6;80;0,709
10;13;10;475;0,3;0,1;95;0,6098
10;13;10;275;0,4;0,1;55;0,6037
10;12;10;400;0,1;0,2;80;0,5949
10;12;50;275;0,4;0,5;27;0,6672
10;13;70;325;0,1;0,2;65;0,637
10;12;80;325;0,0;0,1;32;0,6408
10;13;40;125;0,7;0,6;25;0,7615
10;12;80;250;0,3;0,4;25;0,6525
10;13;70;100;0,8;0,5;10;0,7822
10;12;40;200;0,8;0,5;20;0,6315
10;13;20;350;0,7;0,3;35;0,6923
10;12;50;175;0,2;0,1;35;0,6447
10;12;20;100;0,9;0,9;10;0,7181
10;12;10;250;0,9;0,1;25;0,6377
10;12;10;375;0,6;0,2;37;0,6815
10;12;10;125;0,9;0,7;25;0,7322
10;12;80;225;0,2;0,5;45;0,7224
10;13;20;275;0,6;0,5;55;0,7526
10;12;10;225;0,1;0,2;45;0,5782
10;12;80;150;0,1;0,9;15;0,6159
10;13;20;300;0,0;0,7;30;0,6648
10;13;70;375;0,0;0,5;75;0,6709
10;13;50;250;0,4;0,5;50;0,675
10;13;10;150;0,4;0,7;30;0,7074
10;13;70;225;0,4;0,6;22;0,6944
10;12;10;175;0,3;0,0;35;0,5616
10;13;40;275;0,7;0,9;55;0,6829
10;13;90;100;0,5;0,2;20;0,675
10;13;40;400;0,6;0,4;80;0,7239
10;13;80;400;0,4;0,4;40;0,7173
10;13;80;375;0,6;0,0;37;0,5642
10;12;80;475;0,8;0,4;47;0,7506
10;13;60;375;0,2;0,1;75;0,6963
10;13;50;150;0,1;0,5;30;0,7226
10;13;90;350;0,3;0,0;35;0,6057
10;12;20;275;0,5;0,9;55;0,6827
10;13;90;450;0,4;0,8;90;0,6969
10;13;20;450;0,1;0,1;45;0,7089
10;12;20;350;0,2;0,2;70;0,7043
10;12;10;175;0,7;0,4;35;0,6894
10;12;80;275;0,9;0,5;55;0,7198
10;12;20;425;0,9;0,3;42;0,7051
10;13;80;200;0,9;0,9;40;0,7881
10;13;90;125;0,6;0,9;12;0,783
10;13;50;250;0,3;0,3;50;0,7431
10;12;20;400;0,8;0,1;80;0,6471
10;12;20;100;0,2;0,0;20;0,5545
10;12;20;350;0,7;0,0;35;0,5394
10;12;50;300;0,8;0,1;30;0,6537
