nodes;links;generation;maxScore;population;realloc_rate;resize_rate;elite
10;12;30;0,8052;200;0,2;0,5;20
10;12;30;0,8116;200;0,25;0,5;20
10;12;30;0,815;200;0,25;0,5;40
10;12;30;0,8276;200;0,4;0,8;20
10;12;30;0,8236;200;0,4;0,8;40
10;12;30;0,808;200;0,5;0,5;20
10;12;30;0,8294;200;0,5;0,5;40
10;12;30;0,797;200;0,8;0,4;20
10;12;30;0,8018;200;0,8;0,4;40
10;12;30;0,7892;200;0,5;0,25;20
10;12;30;0,7876;200;0,5;0,25;40
10;12;30;0,7742;200;0,1;0,2;20
10;12;30;0,7908;200;0,1;0,2;40
10;12;30;0,829;200;0,2;0,8;20
10;12;30;0,8238;200;0,2;0,8;40
10;12;30;0,7787;200;0,25;0,5;20
10;12;30;0,77;200;0,25;0,5;40
10;12;30;0,7867;200;0,4;0,8;20
10;12;30;0,788;200;0,4;0,8;40
10;12;30;0,7733;200;0,5;0,5;20
10;12;30;0,7673;200;0,5;0,5;40
10;12;30;0,7633333333333333;200;0,8;0,4;20
10;12;30;0,7566666666666667;200;0,8;0,4;40
10;12;30;0,7453333333333333;200;0,5;0,25;20
10;12;30;0,7353333333333333;200;0,5;0,25;40
10;12;30;0,7286666666666667;200;0,1;0,2;20
10;12;30;0,734;200;0,1;0,2;40
10;12;30;0,7773333333333333;200;0,2;0,8;20
10;12;30;0,782;200;0,2;0,8;40
